,Mass,Center of Mass,RMS Radius
1,6,"(94.183333333333337, 46.113333333333323, 23.356666666666666)",0.821563549987
2,3,"(98.63666666666667, 116.45333333333333, 90.353333333333339)",0.510098029794
3,1,"(3.0499999999999998, 46.109999999999999, 22.309999999999999)",0
4,2,"(81.329999999999998, 138.755, 37.18)",0.25889186932
5,4,"(105.52999999999999, 98.292500000000004, 42.307500000000005)",0.718287894928
6,1,"(23.640000000000001, 39.950000000000003, 105.36)",0
7,1,"(16.109999999999999, 82.650000000000006, 51.490000000000002)",0
8,1,"(136.44999999999999, 109.63, 77.420000000000002)",0
9,1,"(122.84, 63.420000000000002, 9.5500000000000007)",0
10,1,"(39.890000000000001, 80.510000000000005, 12.16)",0
11,1,"(110.77, 122.95999999999999, 37.329999999999998)",0
12,156,"(13.945641025641025, 79.86756410256406, 48.696153846153869)",1.33111579031
13,4,"(92.960000000000008, 122.3475, 102.77000000000001)",0.589422386748
14,1,"(136.09999999999999, 53.810000000000002, 97.290000000000006)",0
15,1,"(100.89, 9.4700000000000006, 108.02)",0
16,2,"(71.484999999999999, 82.170000000000002, 109.65000000000001)",0.642592405806
17,2,"(126.63, 87.085000000000008, 112.44499999999999)",0.692567686223
18,4,"(53.5075, 109.9375, 98.599999999999994)",0.42542625683
19,1,"(106.86, 100.26000000000001, 60.810000000000002)",0
20,99,"(25.758686868686869, 67.612424242424254, 116.71131313131313)",1.72309879644
21,2,"(133.82499999999999, 8.2249999999999996, 35.704999999999998)",0.28191310718
22,19,"(64.659473684210539, 6.8768421052631581, 78.362631578947358)",0.843010697448
23,23,"(74.360434782608692, 119.62739130434784, 106.28217391304349)",0.674515298914
24,1,"(9.6199999999999992, 7.7599999999999998, 44.579999999999998)",0
25,6,"(139.77500000000001, 108.62333333333333, 69.810000000000002)",1.02052954664
26,128,"(85.396328125000025, 121.335078125, 85.104375000000033)",2.17473260468
27,6,"(82.041666666666671, 87.018333333333317, 36.341666666666661)",0.544342110564
28,1,"(91.829999999999998, 49.950000000000003, 132.28999999999999)",0
29,198,"(61.535707070707062, 109.84101010101004, 124.29570707070707)",5.01757461833
30,3,"(82.069999999999993, 83.189999999999998, 95.393333333333331)",0.420264466999
31,115,"(109.49965217391303, 107.65556521739127, 77.107043478260891)",1.33133806222
32,2,"(76.189999999999998, 107.09999999999999, 108.35499999999999)",0.0610327780787
33,1,"(81.25, 32.549999999999997, 6.5899999999999999)",0
34,5,"(130.63200000000001, 94.409999999999997, 21.143999999999998)",0.474468123271
35,1,"(61.450000000000003, 120.06999999999999, 61.770000000000003)",0
36,1,"(61.509999999999998, 123.37, 72.629999999999995)",0
37,1,"(37.810000000000002, 107.19, 8.3599999999999994)",0
38,42,"(120.69642857142857, 97.293809523809514, 81.50523809523807)",1.42462862647
39,1,"(106.81, 78.379999999999995, 122.15000000000001)",0
40,2,"(49.870000000000005, 25.815000000000001, 50.209999999999994)",0.465859420856
41,13,"(18.465384615384615, 7.5053846153846147, 60.176153846153852)",0.93412871153
42,49,"(41.492244897959168, 36.171224489795918, 31.407142857142869)",0.84878520145
43,1,"(125.27, 118.06, 51.479999999999997)",0
44,5,"(117.38800000000001, 67.118000000000009, 67.597999999999985)",0.509438907034
45,241,"(46.530414937759353, 81.286348547717822, 69.017925311203314)",4.08293529383
46,1,"(126.37, 31.960000000000001, 93.430000000000007)",0
47,5,"(115.23399999999999, 98.150000000000006, 139.74800000000002)",0.470871532374
48,2,"(92.454999999999998, 31.585000000000001, 102.63499999999999)",0.620866330219
49,3,"(12.583333333333334, 32.530000000000001, 12.229999999999999)",0.646340123739
50,1,"(130.34, 39.859999999999999, 124.84999999999999)",0
51,2,"(138.095, 53.515000000000001, 60.435000000000002)",0.496865172859
