,Mass,Center of Mass,RMS Radius
1,28000000000.0,"(94.424999999999997, 46.234999999999999, 22.780000000000001)",0.215290501416
2,14000000000.0,"(98.810000000000002, 117.14, 90.269999999999996)",0.0
3,14000000000.0,"(3.0499999999999998, 46.109999999999999, 22.309999999999999)",0.0
4,28000000000.0,"(81.329999999999998, 138.755, 37.18)",0.25889186932
5,28000000000.0,"(105.405, 98.164999999999992, 42.289999999999999)",0.0886002257333
6,14000000000.0,"(23.640000000000001, 39.950000000000003, 105.36)",0.0
7,14000000000.0,"(16.109999999999999, 82.650000000000006, 51.490000000000002)",0.0
8,14000000000.0,"(136.44999999999999, 109.63, 77.420000000000002)",0.0
9,14000000000.0,"(122.84, 63.420000000000002, 9.5500000000000007)",0.0
10,14000000000.0,"(39.890000000000001, 80.510000000000005, 12.16)",0.0
11,14000000000.0,"(110.77, 122.95999999999999, 37.329999999999998)",0.0
12,2030000000000.0,"(13.922413793103445, 79.901862068965471, 48.718965517241386)",1.22108486881
13,14000000000.0,"(92.859999999999999, 121.41, 102.92)",0.0
14,14000000000.0,"(136.09999999999999, 53.810000000000002, 97.290000000000006)",0.0
15,14000000000.0,"(100.89, 9.4700000000000006, 108.02)",0.0
16,14000000000.0,"(71.959999999999994, 82.5, 109.93000000000001)",0.0
17,14000000000.0,"(126.29000000000001, 87.579999999999998, 112.79000000000001)",0.0
18,56000000000.0,"(53.507500000000007, 109.9375, 98.600000000000009)",0.42542625683
19,14000000000.0,"(106.86, 100.26000000000001, 60.810000000000002)",0.0
20,1092000000000.0,"(25.766666666666669, 67.600000000000023, 116.2515384615385)",0.956181969043
21,28000000000.0,"(133.82499999999999, 8.2249999999999996, 35.704999999999998)",0.28191310718
22,196000000000.0,"(64.527857142857144, 7.1242857142857137, 78.585714285714289)",0.358142173343
23,294000000000.0,"(74.350000000000009, 119.57047619047619, 106.29190476190479)",0.500067569131
24,14000000000.0,"(9.6199999999999992, 7.7599999999999998, 44.579999999999998)",0.0
25,14000000000.0,"(141.16, 109.44, 70.319999999999993)",0.0
26,1176000000000.0,"(84.708452380952409, 120.57690476190476, 84.919523809523824)",0.949836295419
27,70000000000.0,"(82.214000000000013, 87.082000000000008, 36.245999999999995)",0.313279427987
28,14000000000.0,"(91.829999999999998, 49.950000000000003, 132.28999999999999)",0.0
29,14000000000.0,"(64.75, 110.65000000000001, 117.55)",0.0
30,14000000000.0,"(81.540000000000006, 83.390000000000001, 95.219999999999999)",0.0
31,1386000000000.0,"(109.44767676767682, 107.81060606060606, 77.04555555555558)",1.06743047339
32,28000000000.0,"(76.189999999999998, 107.09999999999999, 108.35499999999999)",0.0610327780787
33,14000000000.0,"(81.25, 32.549999999999997, 6.5899999999999999)",0.0
