,Mass,Center of Mass,RMS Radius,Potential Issue
542,182000000000.0,"(121.42153846153847, 140.9823076923077, 66.814615384615379)",0.302543458661,yes
1121,364000000000.0,"(32.080769230769235, 140.64769230769232, 70.608461538461512)",0.607218900315,yes
1152,1610000000000.0,"(26.803043478260864, 88.982608695652161, 140.2936521739131)",1.10528028419,yes
1326,238000000000.0,"(20.797058823529415, 1.4488235294117651, 56.118235294117653)",0.496693565763,yes
1425,434000000000.0,"(113.99064516129029, 105.34161290322579, 1.5790322580645162)",0.758250903648,yes
1473,406000000000.0,"(111.72068965517242, 141.0451724137931, 61.988965517241382)",0.774484908033,yes
1656,364000000000.0,"(67.458461538461535, 57.009615384615387, 140.36346153846154)",0.877825615171,yes
1991,350000000000.0,"(111.78079999999999, 0.26160000000000005, 62.440400000000018)",0.579075677265,yes
2042,182000000000.0,"(1.4923076923076921, 56.408461538461538, 112.13384615384615)",0.506914322324,yes
2194,364000000000.0,"(120.80615384615385, 140.44653846153849, 89.207307692307708)",0.720574433902,yes
2569,392000000000.0,"(38.502857142857145, 66.318571428571417, 141.03142857142856)",0.594470266674,yes
2628,336000000000.0,"(0.94166666666666643, 91.255833333333328, 81.534166666666664)",0.602843954381,yes
2781,182000000000.0,"(28.364615384615384, 88.373076923076923, 0.58307692307692305)",0.670755998458,yes
3138,224000000000.0,"(43.803750000000008, 66.132500000000022, 0.46750000000000008)",0.395345971903,yes
3410,196000000000.0,"(140.5, 87.464285714285737, 20.562142857142856)",0.622080528287,yes
6207,168000000000.0,"(0.64000000000000001, 74.164166666666674, 40.610833333333339)",0.590253006016,yes
6555,154000000000.0,"(68.018181818181816, 141.03818181818181, 51.81545454545455)",0.474322483319,yes
