,index,Mass,Center of Mass,RMS Radius,Potential Issue
0,1,167342000000000.0,"(69.321095450765426, 57.258352083661137, 52.141147867062827)",1.04273033866,
1,5,72884000000000.0,"(71.517331233000249, 59.230739043987683, 10.726051769112544)",1.26163994639,
2,7,588000000000.0,"(4.2674920000000007, 56.33421419047621, 55.704432880952382)",0.166268401694,
3,15,308000000000.0,"(70.730994818181813, 52.784406499999996, 43.634520590909091)",0.12233796937,
4,18,1106000000000.0,"(4.8596594177215193, 4.4635156962025313, 66.719966303797477)",0.211598637248,
5,24,770000000000.0,"(70.717075563636342, 61.009246963636379, 13.239030527272725)",0.263711401598,
6,25,37954000000000.0,"(4.1308937757285165, 46.012728156768773, 8.4918640649206765)",0.838062358995,
7,32,14602000000000.0,"(4.8899250115052668, 27.840982069031636, 36.10299257909881)",0.499912138488,
8,33,154000000000.0,"(62.14770272727273, 4.3917051818181809, 15.199955090909093)",0.0797682441421,
9,34,20706000000000.0,"(6.6072006085192783, 31.31344234415144, 17.094360705206228)",0.497019904426,
10,35,1806000000000.0,"(67.195180868217051, 2.7522363410852715, 50.32540558139533)",0.229515296281,
11,40,406000000000.0,"(134.66975341379313, 141.20263196551727, 24.804328827586207)",0.203231851307,yes
12,43,37198000000000.0,"(73.665819514490011, 63.362789038765499, 48.422439744825112)",1.01565930054,
13,50,840000000000.0,"(138.84551461666663, 1.9407982333333331, 36.342730516666684)",0.189839556559,
14,52,6566000000000.0,"(67.996417953091637, 141.02845517057571, 51.610824714285727)",0.364373706196,yes
15,53,3402000000000.0,"(8.1038750905349772, 6.7776573168724283, 49.191799185185197)",0.321060993164,
16,56,5544000000000.0,"(7.2592895429292978, 73.496603936868695, 45.841905906565636)",0.364038304473,
17,63,183848000000000.0,"(13.958255159610104, 76.68547818679572, 38.510511039978617)",1.48770785255,
18,65,10738000000000.0,"(70.644553430247768, 50.690400693611444, 63.230204307692361)",0.48740210235,
19,68,50890000000000.0,"(68.51257687455292, 133.06062789078402, 34.88664978789545)",0.672746098305,
20,70,11102000000000.0,"(69.057476862547318, 3.2786585346784372, 51.581638914249702)",0.45740567822,
21,74,686000000000.0,"(69.786602530612242, 54.973975326530621, 44.309028163265317)",0.26093687075,
22,81,672000000000.0,"(2.0249949374999994, 6.9465449583333312, 65.441473666666653)",0.180464742315,
23,84,73164000000000.0,"(73.942698354955866, 68.851564043436838, 9.8173829573287374)",1.11482744171,
24,91,238000000000.0,"(138.38697352941176, 74.306335411764721, 62.888360117647046)",0.171361359981,
25,92,1106000000000.0,"(2.4130067594936699, 6.7608518734177245, 62.738088354430388)",0.212685446123,
26,96,17248000000000.0,"(71.385271697240128, 39.768984450487004, 22.622686229707757)",0.505899769196,
27,98,10430000000000.0,"(71.328614115436281, 2.0511151973154358, 58.421683394630818)",0.458201457627,
28,100,13608000000000.0,"(73.595280555555519, 137.15632928189331, 23.500745469135794)",0.509349135461,
29,103,1876000000000.0,"(3.3379842462686571, 21.213336686567175, 39.045446611940292)",0.24164597236,
30,108,3864000000000.0,"(66.765392166666672, 6.7195917572463708, 39.17929165579708)",0.348105616002,
31,109,16170000000000.0,"(6.8930381896103903, 57.62799661471859, 52.722607284848522)",0.582368075771,
32,110,7854000000000.0,"(68.577714393939416, 2.4529190855614993, 27.471128340463434)",0.337675322819,
33,111,1092000000000.0,"(2.7595477307692309, 33.80957532051282, 26.472173358974359)",0.195896745928,
34,114,1022000000000.0,"(1.2955061917808222, 30.564713095890404, 34.3240645890411)",0.236133202918,
