,binnedMr,0,log
0,"(-29.34, -29.24]",0,-6.31
1,"(-29.24, -29.14]",0,-6.31
2,"(-29.14, -29.04]",0,-6.31
3,"(-29.04, -28.94]",1,-6.31
4,"(-28.94, -28.84]",0,-6.31
5,"(-28.84, -28.74]",0,-6.31
6,"(-28.74, -28.64]",0,-6.31
7,"(-28.64, -28.54]",0,-6.31
8,"(-28.54, -28.44]",0,-6.31
9,"(-28.44, -28.34]",0,-6.31
10,"(-28.34, -28.24]",0,-6.31
11,"(-28.24, -28.14]",1,-6.31
12,"(-28.14, -28.04]",0,-6.31
13,"(-28.04, -27.94]",0,-6.31
14,"(-27.94, -27.84]",0,-6.31
15,"(-27.84, -27.74]",0,-6.31
16,"(-27.74, -27.64]",0,-6.31
17,"(-27.64, -27.54]",1,-6.31
18,"(-27.54, -27.44]",0,-6.31
19,"(-27.44, -27.34]",0,-6.31
20,"(-27.34, -27.24]",1,-6.31
21,"(-27.24, -27.14]",3,-5.832878745280337
22,"(-27.14, -27.04]",1,-6.31
23,"(-27.04, -26.94]",0,-6.31
24,"(-26.94, -26.84]",0,-6.31
25,"(-26.84, -26.74]",0,-6.31
26,"(-26.74, -26.64]",1,-6.31
27,"(-26.64, -26.54]",0,-6.31
28,"(-26.54, -26.44]",0,-6.31
29,"(-26.44, -26.34]",2,-6.008970004336018
30,"(-26.34, -26.24]",0,-6.31
31,"(-26.24, -26.14]",0,-6.31
32,"(-26.14, -26.04]",1,-6.31
33,"(-26.04, -25.94]",1,-6.31
34,"(-25.94, -25.84]",0,-6.31
35,"(-25.84, -25.74]",2,-6.008970004336018
36,"(-25.74, -25.64]",2,-6.008970004336018
37,"(-25.64, -25.54]",0,-6.31
38,"(-25.54, -25.44]",0,-6.31
39,"(-25.44, -25.34]",1,-6.31
40,"(-25.34, -25.24]",1,-6.31
41,"(-25.24, -25.14]",1,-6.31
42,"(-25.14, -25.04]",4,-5.707940008672037
43,"(-25.04, -24.94]",1,-6.31
44,"(-24.94, -24.84]",0,-6.31
45,"(-24.84, -24.74]",3,-5.832878745280337
46,"(-24.74, -24.64]",0,-6.31
47,"(-24.64, -24.54]",0,-6.31
48,"(-24.54, -24.44]",2,-6.008970004336018
49,"(-24.44, -24.34]",3,-5.832878745280337
50,"(-24.34, -24.24]",5,-5.611029995663981
51,"(-24.24, -24.14]",7,-5.464901959985743
52,"(-24.14, -24.04]",2,-6.008970004336018
53,"(-24.04, -23.94]",2,-6.008970004336018
54,"(-23.94, -23.84]",4,-5.707940008672037
55,"(-23.84, -23.74]",9,-5.355757490560674
56,"(-23.74, -23.64]",6,-5.531848749616356
57,"(-23.64, -23.54]",16,-5.105880017344075
58,"(-23.54, -23.44]",30,-4.832878745280337
59,"(-23.44, -23.34]",31,-4.818638306165727
60,"(-23.34, -23.24]",68,-4.477491087293763
61,"(-23.24, -23.14]",72,-4.4526675035687315
62,"(-23.14, -23.04]",171,-4.077003889607846
63,"(-23.04, -22.94]",278,-3.8659552040819234
64,"(-22.94, -22.84]",394,-3.7145037781744255
65,"(-22.84, -22.74]",654,-3.4944222516757324
66,"(-22.74, -22.64]",877,-3.367000406633959
67,"(-22.64, -22.54]",1279,-3.2031294555213456
68,"(-22.54, -22.44]",1841,-3.044946211495985
69,"(-22.44, -22.34]",2458,-2.9194181214495645
70,"(-22.34, -22.24]",3130,-2.8144556624535513
71,"(-22.24, -22.14]",4087,-2.698595362288406
72,"(-22.14, -22.04]",5206,-2.593495836226783
73,"(-22.04, -21.94]",6303,-2.5104526928743844
74,"(-21.94, -21.84]",7488,-2.435634164269951
75,"(-21.84, -21.74]",9339,-2.339699624597822
76,"(-21.74, -21.64]",11053,-2.2665198299774483
77,"(-21.64, -21.54]",12565,-2.210837507071405
78,"(-21.54, -21.44]",14307,-2.1544514228464697
79,"(-21.44, -21.34]",15748,-2.1127745938818077
80,"(-21.34, -21.24]",17079,-2.077537561468789
81,"(-21.24, -21.14]",18427,-2.044545364156816
82,"(-21.14, -21.04]",19547,-2.018919887036473
83,"(-21.04, -20.94]",20349,-2.0014569282153154
84,"(-20.94, -20.84]",21437,-1.9788359920486442
85,"(-20.84, -20.74]",21443,-1.97871445441299
86,"(-20.74, -20.64]",21393,-1.9797283088324944
