binnedMr,Mr
"(-29.34, -29.24]",
"(-29.24, -29.14]",
"(-29.14, -29.04]",
"(-29.04, -28.94]",-29.0
"(-28.94, -28.84]",
"(-28.84, -28.74]",
"(-28.74, -28.64]",
"(-28.64, -28.54]",
"(-28.54, -28.44]",
"(-28.44, -28.34]",
"(-28.34, -28.24]",
"(-28.24, -28.14]",-28.16
"(-28.14, -28.04]",
"(-28.04, -27.94]",
"(-27.94, -27.84]",
"(-27.84, -27.74]",
"(-27.74, -27.64]",
"(-27.64, -27.54]",-27.54
"(-27.54, -27.44]",
"(-27.44, -27.34]",
"(-27.34, -27.24]",-27.33
"(-27.24, -27.14]",-27.186666666666667
"(-27.14, -27.04]",-27.13
"(-27.04, -26.94]",
"(-26.94, -26.84]",
"(-26.84, -26.74]",
"(-26.74, -26.64]",-26.66
"(-26.64, -26.54]",
"(-26.54, -26.44]",
"(-26.44, -26.34]",-26.384999999999998
"(-26.34, -26.24]",
"(-26.24, -26.14]",
"(-26.14, -26.04]",-26.05
"(-26.04, -25.94]",-25.95
"(-25.94, -25.84]",
"(-25.84, -25.74]",-25.82
"(-25.74, -25.64]",-25.705
"(-25.64, -25.54]",
"(-25.54, -25.44]",
"(-25.44, -25.34]",-25.35
"(-25.34, -25.24]",-25.28
"(-25.24, -25.14]",-25.2
"(-25.14, -25.04]",-25.0875
"(-25.04, -24.94]",-24.98
"(-24.94, -24.84]",
"(-24.84, -24.74]",-24.783333333333335
"(-24.74, -24.64]",
"(-24.64, -24.54]",
"(-24.54, -24.44]",-24.46
"(-24.44, -24.34]",-24.38
"(-24.34, -24.24]",-24.279999999999994
"(-24.24, -24.14]",-24.181428571428572
"(-24.14, -24.04]",-24.095
"(-24.04, -23.94]",-23.945
"(-23.94, -23.84]",-23.9125
"(-23.84, -23.74]",-23.78777777777778
"(-23.74, -23.64]",-23.685000000000002
"(-23.64, -23.54]",-23.575625
"(-23.54, -23.44]",-23.488333333333333
"(-23.44, -23.34]",-23.38322580645161
"(-23.34, -23.24]",-23.279264705882344
"(-23.24, -23.14]",-23.173472222222248
"(-23.14, -23.04]",-23.083157894736853
"(-23.04, -22.94]",-22.98147482014387
"(-22.94, -22.84]",-22.87984771573606
"(-22.84, -22.74]",-22.78059633027527
"(-22.74, -22.64]",-22.682451539338572
"(-22.64, -22.54]",-22.58336982017211
"(-22.54, -22.44]",-22.48292775665388
"(-22.44, -22.34]",-22.382717656631314
"(-22.34, -22.24]",-22.28277955271558
"(-22.24, -22.14]",-22.18349155860042
"(-22.14, -22.04]",-22.083449865539972
"(-22.04, -21.94]",-21.983033476122827
"(-21.94, -21.84]",-21.883751335469817
"(-21.84, -21.74]",-21.78319306135489
"(-21.74, -21.64]",-21.68376639826435
"(-21.64, -21.54]",-21.584113808196257
"(-21.54, -21.44]",-21.484302788845554
"(-21.44, -21.34]",-21.38441071882083
"(-21.34, -21.24]",-21.283973300544826
"(-21.24, -21.14]",-21.184247571498652
"(-21.14, -21.04]",-21.08432751828763
"(-21.04, -20.94]",-20.984369747900864
"(-20.94, -20.84]",-20.88499743434162
"(-20.84, -20.74]",-20.784975516486398
"(-20.74, -20.64]",-20.684847379984127
"(-20.64, -20.54]",-20.584853952697966
"(-20.54, -20.44]",-20.485203677443042
"(-20.44, -20.34]",-20.385624623114843
"(-20.34, -20.24]",-20.28541061065231
"(-20.24, -20.14]",-20.185658697177715
"(-20.14, -20.04]",-20.085092710625613
"(-20.04, -19.94]",-19.985426736932386
"(-19.94, -19.84]",-19.885691588186003
"(-19.84, -19.74]",-19.78513383297589
"(-19.74, -19.64]",-19.68580636022518
"(-19.64, -19.54]",-19.58600447980127
"(-19.54, -19.44]",-19.485873691099805
"(-19.44, -19.34]",-19.386105899332513
"(-19.34, -19.24]",-19.286195053569113
"(-19.24, -19.14]",-19.18577875309532
"(-19.14, -19.04]",-19.086197383758574
"(-19.04, -18.94]",-18.986091869680276
"(-18.94, -18.84]",-18.88591955887072
"(-18.84, -18.74]",-18.785330902461446
"(-18.74, -18.64]",-18.685709156193823
"(-18.64, -18.54]",-18.585293048614314
"(-18.54, -18.44]",-18.486081180811752
"(-18.44, -18.34]",-18.385325427468175
"(-18.34, -18.24]",-18.285876168224284
"(-18.24, -18.14]",-18.185973176316814
"(-18.14, -18.04]",-18.085709104098672
"(-18.04, -17.94]",-17.98680620155028
"(-17.94, -17.84]",-17.8855498721227
"(-17.84, -17.74]",-17.785819750719185
"(-17.74, -17.64]",-17.685161953727427
"(-17.64, -17.54]",-17.58524779735692
"(-17.54, -17.44]",-17.486127023661208
"(-17.44, -17.34]",-17.386694480102637
"(-17.34, -17.24]",-17.28538748137115
"(-17.24, -17.14]",-17.18682324840753
"(-17.14, -17.04]",-17.08477572559373
"(-17.04, -16.94]",-16.9854599406528
"(-16.94, -16.84]",-16.887068584070832
"(-16.84, -16.74]",-16.785705368289676
"(-16.74, -16.64]",-16.685559947299
"(-16.64, -16.54]",-16.585751533742375
"(-16.54, -16.44]",-16.486518375241758
"(-16.44, -16.34]",-16.383967889908266
"(-16.34, -16.24]",-16.28839002267575
"(-16.24, -16.14]",-16.18393678160917
"(-16.14, -16.04]",-16.08825454545455
"(-16.04, -15.94]",-15.982570281124493
"(-15.94, -15.84]",-15.887715517241379
"(-15.84, -15.74]",-15.78508695652174
"(-15.74, -15.64]",-15.69065326633166
"(-15.64, -15.54]",-15.587818181818175
"(-15.54, -15.44]",-15.487425149700611
"(-15.44, -15.34]",-15.384615384615385
"(-15.34, -15.24]",-15.285095541401263
"(-15.24, -15.14]",-15.190158730158759
"(-15.14, -15.04]",-15.084789915966361
"(-15.04, -14.94]",-14.98601694915255
"(-14.94, -14.84]",-14.884122807017546
"(-14.84, -14.74]",-14.782796610169472
"(-14.74, -14.64]",-14.688202247191024
"(-14.64, -14.54]",-14.584186046511615
"(-14.54, -14.44]",-14.488962264150949
"(-14.44, -14.34]",-14.384835164835167
"(-14.34, -14.24]",-14.285795454545445
"(-14.24, -14.14]",-14.185352112676059
"(-14.14, -14.04]",-14.08512195121951
