,binnedMr,0,magAv,MagMr
0,"(-29.34, -29.24]",0,,
1,"(-29.24, -29.14]",0,,
2,"(-29.14, -29.04]",0,,
3,"(-29.04, -28.94]",1,-29.0,1.076465213629835
4,"(-28.94, -28.84]",0,,
5,"(-28.84, -28.74]",0,,
6,"(-28.74, -28.64]",0,,
7,"(-28.64, -28.54]",0,,
8,"(-28.54, -28.44]",0,,
9,"(-28.44, -28.34]",0,,
10,"(-28.34, -28.24]",0,,
11,"(-28.24, -28.14]",1,-28.16,0.7311390834834187
12,"(-28.14, -28.04]",0,,
13,"(-28.04, -27.94]",0,,
14,"(-27.94, -27.84]",0,,
15,"(-27.84, -27.74]",0,,
16,"(-27.74, -27.64]",0,,
17,"(-27.64, -27.54]",1,-27.54,0.5495408738576271
18,"(-27.54, -27.44]",0,,
19,"(-27.44, -27.34]",0,,
20,"(-27.34, -27.24]",1,-27.33,0.4988844874600127
21,"(-27.24, -27.14]",3,-27.186666666666667,0.46701769211480704
22,"(-27.14, -27.04]",1,-27.13,0.4549880601500499
23,"(-27.04, -26.94]",0,,
24,"(-26.94, -26.84]",0,,
25,"(-26.84, -26.74]",0,,
26,"(-26.74, -26.64]",1,-26.66,0.36643757464783333
27,"(-26.64, -26.54]",0,,
28,"(-26.54, -26.44]",0,,
29,"(-26.44, -26.34]",2,-26.384999999999998,0.3228494121712638
30,"(-26.34, -26.24]",0,,
31,"(-26.24, -26.14]",0,,
32,"(-26.14, -26.04]",1,-26.05,0.27669416454115126
33,"(-26.04, -25.94]",1,-25.95,0.264240875732195
34,"(-25.94, -25.84]",0,,
35,"(-25.84, -25.74]",2,-25.82,0.24888573182823953
36,"(-25.74, -25.64]",2,-25.705,0.23604782331805735
37,"(-25.64, -25.54]",0,,
38,"(-25.54, -25.44]",0,,
39,"(-25.44, -25.34]",1,-25.35,0.20044720273651676
40,"(-25.34, -25.24]",1,-25.28,0.19408858775927793
41,"(-25.24, -25.14]",1,-25.2,0.18706821403658017
42,"(-25.14, -25.04]",4,-25.0875,0.1776233268288443
43,"(-25.04, -24.94]",1,-24.98,0.169044093164327
44,"(-24.94, -24.84]",0,,
45,"(-24.84, -24.74]",3,-24.783333333333335,0.15440688679640716
46,"(-24.74, -24.64]",0,,
47,"(-24.64, -24.54]",0,,
48,"(-24.54, -24.44]",2,-24.46,0.13304544179780983
49,"(-24.44, -24.34]",3,-24.38,0.1282330582656023
50,"(-24.34, -24.24]",5,-24.279999999999994,0.12246161992650514
51,"(-24.24, -24.14]",7,-24.181428571428572,0.11702690361208828
52,"(-24.14, -24.04]",2,-24.095,0.11246049739669269
53,"(-24.04, -23.94]",2,-23.945,0.10495424286523242
54,"(-23.94, -23.84]",4,-23.9125,0.10339511009823756
55,"(-23.84, -23.74]",9,-23.78777777777778,0.09762376561249365
56,"(-23.74, -23.64]",6,-23.685000000000002,0.09311078754678329
57,"(-23.64, -23.54]",16,-23.575625,0.08853704032478929
58,"(-23.54, -23.44]",30,-23.488333333333333,0.08504850162545886
59,"(-23.44, -23.34]",31,-23.38322580645161,0.08102987357139463
60,"(-23.34, -23.24]",68,-23.279264705882344,0.07724189878008647
61,"(-23.24, -23.14]",72,-23.173472222222248,0.07356893081557865
62,"(-23.14, -23.04]",171,-23.083157894736853,0.07057186244517492
63,"(-23.04, -22.94]",278,-22.98147482014387,0.06734338836709554
64,"(-22.94, -22.84]",394,-22.87984771573606,0.06426426475322068
65,"(-22.84, -22.74]",654,-22.78059633027527,0.061393057978018556
66,"(-22.74, -22.64]",877,-22.682451539338572,0.058680027387480474
