,binnedMr,0,magAv,MagMr,logMax
3,"(-29.04, -28.94]",1,-29.0,1.076465213629835,-10.908175072006738
11,"(-28.24, -28.14]",1,-28.16,0.7311390834834187,-10.40417507200674
17,"(-27.64, -27.54]",1,-27.54,0.5495408738576271,-10.032175072006744
20,"(-27.34, -27.24]",1,-27.33,0.4988844874600127,-9.90617507200674
21,"(-27.24, -27.14]",3,-27.186666666666667,0.46701769211480704,-9.343053817287078
22,"(-27.14, -27.04]",1,-27.13,0.4549880601500499,-9.786175072006742
26,"(-26.74, -26.64]",1,-26.66,0.36643757464783333,-9.504175072006738
29,"(-26.44, -26.34]",2,-26.384999999999998,0.3228494121712638,-9.038145076342758
32,"(-26.14, -26.04]",1,-26.05,0.27669416454115126,-9.138175072006739
33,"(-26.04, -25.94]",1,-25.95,0.264240875732195,-9.07817507200674
35,"(-25.84, -25.74]",2,-25.82,0.24888573182823953,-8.69914507634276
36,"(-25.74, -25.64]",2,-25.705,0.23604782331805735,-8.630145076342755
39,"(-25.44, -25.34]",1,-25.35,0.20044720273651676,-8.718175072006742
40,"(-25.34, -25.24]",1,-25.28,0.19408858775927793,-8.676175072006739
41,"(-25.24, -25.14]",1,-25.2,0.18706821403658017,-8.628175072006739
42,"(-25.14, -25.04]",4,-25.0875,0.1776233268288443,-7.958615080678779
43,"(-25.04, -24.94]",1,-24.98,0.169044093164327,-8.496175072006743
45,"(-24.84, -24.74]",3,-24.783333333333335,0.15440688679640716,-7.90105381728708
48,"(-24.54, -24.44]",2,-24.46,0.13304544179780983,-7.883145076342764
49,"(-24.44, -24.34]",3,-24.38,0.1282330582656023,-7.659053817287077
50,"(-24.34, -24.24]",5,-24.279999999999994,0.12246161992650514,-7.377205067670722
51,"(-24.24, -24.14]",7,-24.181428571428572,0.11702690361208828,-7.171934174849625
52,"(-24.14, -24.04]",2,-24.095,0.11246049739669269,-7.664145076342758
53,"(-24.04, -23.94]",2,-23.945,0.10495424286523242,-7.57414507634276
54,"(-23.94, -23.84]",4,-23.9125,0.10339511009823756,-7.253615080678782
55,"(-23.84, -23.74]",9,-23.78777777777778,0.09762376561249365,-6.826599229234083
56,"(-23.74, -23.64]",6,-23.685000000000002,0.09311078754678329,-6.941023821623099
57,"(-23.64, -23.54]",16,-23.575625,0.08853704032478929,-6.4494300893508125
58,"(-23.54, -23.44]",30,-23.488333333333333,0.08504850162545886,-6.12405381728708
59,"(-23.44, -23.34]",31,-23.38322580645161,0.08102987357139463,-6.046748862043437
60,"(-23.34, -23.24]",68,-23.279264705882344,0.07724189878008647,-5.643224982829909
61,"(-23.24, -23.14]",72,-23.173472222222248,0.07356893081557865,-5.554925908908821
62,"(-23.14, -23.04]",171,-23.083157894736853,0.07057186244517492,-5.125073698456697
63,"(-23.04, -22.94]",278,-22.98147482014387,0.06734338836709554,-4.853015168174987
64,"(-22.94, -22.84]",394,-22.87984771573606,0.06426426475322068,-4.640587479622802
65,"(-22.84, -22.74]",654,-22.78059633027527,0.061393057978018556,-4.360955121847638
66,"(-22.74, -22.64]",877,-22.682451539338572,0.058680027387480474,-4.1746464022438445
67,"(-22.64, -22.54]",1279,-22.58336982017211,0.056062694104041404,-3.951326419631352
68,"(-22.54, -22.44]",1841,-22.48292775665388,0.05352855888762132,-3.732877937495051
69,"(-22.44, -22.34]",2458,-22.382717656631314,0.05111443108065626,-3.5472237874350947
70,"(-22.34, -22.24]",3130,-22.28277955271558,0.04881529414181599,-3.3822984660896376
71,"(-22.24, -22.14]",4087,-22.18349155860042,0.04663353219077309,-3.206865369455399
72,"(-22.14, -22.04]",5206,-22.083449865539972,0.04453382242837526,-3.0417408275575077
73,"(-22.04, -21.94]",6303,-21.983033476122827,0.04252131581454201,-2.8984478505548203
74,"(-21.94, -21.84]",7488,-21.883751335469817,0.0406209678727407,-2.764060037558586
75,"(-21.84, -21.74]",9339,-21.78319306135489,0.03878275103270407,-2.6077905334174964
76,"(-21.74, -21.64]",11053,-21.68376639826435,0.03704701998724808,-2.4749547409428
77,"(-21.64, -21.54]",12565,-21.584113808196257,0.03538529019756161,-2.359480863995902
78,"(-21.54, -21.44]",14307,-21.484302788845554,0.03379563085828183,-2.2432081681605416
79,"(-21.44, -21.34]",15748,-21.38441071882083,0.03227618111179549,-2.141596097181047
80,"(-21.34, -21.24]",17079,-21.283973300544826,0.030817305247960444,-2.046096613802427
81,"(-21.24, -21.14]",18427,-21.184247571498652,0.029434015503957,-1.9532689790627522
82,"(-21.14, -21.04]",19547,-21.08432751828763,0.028110301497015495,-1.8676914700157958
83,"(-21.04, -20.94]",20349,-20.984369747900864,0.026845651595017495,-1.7902538489625766
84,"(-20.94, -20.84]",21437,-20.88499743434162,0.025644810065063663,-1.708009524660361
85,"(-20.84, -20.74]",21443,-20.784975516486398,0.02449035628629447,-1.6478748363115683
86,"(-20.74, -20.64]",21393,-20.684847379984127,0.023386728613312677,-1.588811808829714
87,"(-20.64, -20.54]",21226,-20.584853952697966,0.02233422003916423,-1.5322192837318394
88,"(-20.54, -20.44]",20449,-20.485203677443042,0.02133244995591895,-1.488625203542444
89,"(-20.44, -20.34]",19900,-20.385624623114843,0.020376281162756412,-1.4406967694659416
90,"(-20.34, -20.24]",19471,-20.28541061065231,0.01945727970754395,-1.39003318162235
91,"(-20.24, -20.14]",18529,-20.185658697177715,0.018583680893191942,-1.3517183089977625
92,"(-20.14, -20.04]",17258,-20.085092710625613,0.017742652312093578,-1.3222402337289605
93,"(-20.04, -19.94]",16509,-19.985426736932386,0.016946708037875104,-1.2817103466353537
94,"(-19.94, -19.84]",15609,-19.885691588186003,0.016185954590011,-1.2462149443026442
95,"(-19.84, -19.74]",14944,-19.78513383297589,0.015453496801559557,-1.2047885129062568
96,"(-19.74, -19.64]",14119,-19.68580636022518,0.014762546277459774,-1.1698549499148276
97,"(-19.64, -19.54]",12947,-19.58600447980127,0.014099408580985764,-1.1476086118858442
98,"(-19.54, -19.44]",12224,-19.485873691099805,0.013464019694106568,-1.1124859454350116
99,"(-19.44, -19.34]",11086,-19.386105899332513,0.012859414044677142,-1.0950637373498076
100,"(-19.34, -19.24]",9987,-19.286195053569113,0.012281149290573081,-1.0804570542718803
101,"(-19.24, -19.14]",8886,-19.18577875309532,0.011726158242526541,-1.0709360149590794
102,"(-19.14, -19.04]",7721,-19.086197383758574,0.01120055329196736,-1.0722199498074354
103,"(-19.04, -18.94]",6814,-18.986091869680276,0.01069592561451049,-1.0664280645830475
