,xVal,yVal,zVal
0,94.55,46.06,22.79
1,98.81,117.14,90.27
2,3.05,46.11,22.31
3,81.25,138.7,36.94
4,105.34,98.12,42.25
5,23.64,39.95,105.36
6,16.11,82.65,51.49
7,136.45,109.63,77.42
8,122.84,63.42,9.55
9,39.89,80.51,12.16
10,110.77,122.96,37.33
11,14.47,80.88,48.45
12,92.86,121.41,102.92
13,136.1,53.81,97.29
14,100.89,9.47,108.02
15,71.96,82.5,109.93
16,126.29,87.58,112.79
17,53.4,110.04,99.15
18,106.86,100.26,60.81
19,24.97,67.96,115.28
20,134.06,8.33,35.82
21,64.51,6.94,78.54
22,74.11,119.11,106.71
23,9.62,7.76,44.58
24,14.53,79.37,49.3
25,141.16,109.44,70.32
26,84.9,120.39,84.66
27,81.89,86.69,36.15
28,91.83,49.95,132.29
29,64.75,110.65,117.55
30,81.54,83.39,95.22
31,109.86,106.21,76.95
32,76.13,107.09,108.36
33,81.25,32.55,6.59
34,130.73,94.45,21.24
35,61.45,120.07,61.77
36,61.51,123.37,72.63
37,37.81,107.19,8.36
38,118.57,98.25,80.56
39,106.81,78.38,122.15
40,49.78,26.21,50.44
41,18.81,7.64,60.41
42,40.91,35.84,31.3
43,125.27,118.06,51.48
44,116.85,67.54,67.24
45,42.55,83.02,64.06
46,126.37,31.96,93.43
47,42.24,36.4,31.63
48,115.05,97.91,139.96
49,92.84,31.3,102.24
50,12.92,32.52,12.5
51,130.34,39.86,124.85
52,137.85,53.8,60.11
53,58.68,43.26,85.14
54,22.03,107.89,19.37
55,101.11,42.26,31.09
56,50.25,124.96,0.36
57,76.23,101.28,68.47
58,59.95,40.98,116.95
59,61.07,15.85,82.05
60,126.63,76.79,54.11
61,137.95,103.76,113.22
62,70.19,88.11,64.87
63,121.43,48.28,20.74
64,108.53,0.62,26.25
65,75.71,106.53,19.96
66,64.67,115.62,85.45
67,134.34,127.65,70.15
68,22.31,16.62,34.48
69,56.92,70.78,133.48
70,36.98,1.04,76.58
71,97.5,48.95,7.63
72,128.7,57.38,62.56
73,78.13,123.52,99.41
74,29.85,15.74,102.17
75,20.64,86.81,44.02
76,24.01,100.62,87.43
77,100.36,137.59,82.52
78,134.18,23.44,26.06
79,99.41,32.77,126.26
80,92.35,46.08,48.61
81,43.84,103.96,23.58
82,102.53,48.4,9.03
83,120.74,96.84,81.73
84,99.55,32.65,103.82
85,2.37,6.74,62.74
86,52.81,76.27,17.8
87,50.95,124.09,0.22
88,109.38,107.88,77.01
89,36.79,19.49,26.39
90,108.98,61.14,115.41
91,130.17,19.96,121.11
