,RA,DEC,z,xVal,yVal,zVal
26695,197.89141,43.557812,0.048392000000000004,-100.11834773987782,-32.320769988504374,100.03876873086304
13225,256.869139,30.731766999999998,0.052663,-30.851043482714015,-132.25173292366273,80.7354716076885
12687,146.898479,32.01575,0.052148,-111.12082993506117,72.44296122383575,82.93915637179485
10750,149.984826,24.961516,0.047629000000000005,-112.16788738626072,64.79977420011464,60.29966062854165
1938,220.069824,14.836142,0.053520000000000005,-118.77399144273011,-99.91012319335837,41.112283325670816
1679,212.693919,6.456336,0.057299,-143.74555770174905,-92.26146533947635,19.329129919004114
4633,205.79748700000002,33.741162,0.046017,-103.35612199883786,-49.95870909356892,76.67931945489279
10947,141.576739,23.525774,0.051361000000000004,-110.68121807372147,87.79803830365337,61.5040106395309
5545,168.28319399999998,45.227055,0.050631999999999996,-104.75109600238063,21.724954374195697,107.83148454759932
17998,226.99915499999997,5.583387999999999,0.050946,-103.74237753588065,-111.24679017262066,14.870273147851444
23909,140.499484,64.033023,0.036657999999999996,-37.1553389243331,30.629059806712753,98.87174601864149
20018,116.45366299999999,51.209865,0.040268,-33.713480993939115,67.75595185458468,94.16017525233535
8151,141.78253,65.663024,0.049277999999999995,-47.86507610676547,37.68973850440157,134.6971033718371
8339,227.664854,18.553032,0.023063,-44.17480717783553,-48.48769464364812,22.0147132605762
9200,235.07849700000003,40.643019,0.043914999999999996,-57.225784077891454,-81.9656653285846,85.81133007309117
17735,236.214198,12.832696,0.051647000000000005,-84.00902540805639,-125.5584784778553,34.413160466810986
27705,236.96398100000002,57.485769999999995,0.050467000000000005,-44.365299561719084,-68.22263814766562,127.67010080661647
15711,197.692976,63.775946,0.054884,-69.315348100371,-22.111986750483936,147.7048532163748
12482,54.409487,0.821909,0.05505499999999999,96.1142124165869,134.29788614534863,2.3692136733923856
20484,192.006429,13.310478,0.048276,-137.8543440948579,-29.31801289029249,33.34341791630185
20819,181.05740600000001,9.913136,0.037703,-111.40129530610922,-2.0561684387492893,19.472274044716414
18382,227.76753599999998,21.564178,0.057862000000000004,-108.50769734660228,-119.53114422501879,63.80034931562613
3114,119.752845,22.191473000000002,0.027257,-37.573780939659564,65.73290545227857,30.885151249431846
